program_name,effective_from,fee_name,domestic_amount,international_amount,is_tuition,sort_order
Dementia Care,2026-01-01,Application Fee,50,50,FALSE,1
Dementia Care,2026-01-01,Tuition Fee,175,175,TRUE,2
Medication Management,2026-01-01,Application Fee,50,50,FALSE,1
Medication Management,2026-01-01,Tuition Fee,175,175,TRUE,2
Medication Management,2026-01-01,Books,175,175,FALSE,3
Palliative Care,2026-01-01,Application Fee,50,50,FALSE,1
Palliative Care,2026-01-01,Tuition Fee,175,175,TRUE,2
Palliative Care,2026-01-01,Books,175,175,FALSE,3
Certificate in Makeup Artistry Fundamentals,2026-01-01,Application Fee,250,250,FALSE,1
Certificate in Makeup Artistry Fundamentals,2026-01-01,Tuition Fee,2250,3250,TRUE,2
Certificate in Makeup Artistry Fundamentals,2026-01-01,Course Materials,250,250,FALSE,3
Certificate in Makeup Artistry Fundamentals,2026-01-01,Books,890,800,FALSE,4
Canadian Payroll Administration,2026-01-01,Administration Fee,100,100,FALSE,1
Canadian Payroll Administration,2026-01-01,Tuition Fee,450,450,TRUE,2
Canadian Payroll Administration,2026-01-01,Books,175,175,FALSE,3
Canadian Taxation,2026-01-01,Registration Fee,100,100,FALSE,1
Canadian Taxation,2026-01-01,Tuition Fee,600,600,TRUE,2
Canadian Taxation,2026-01-01,Books,175,175,FALSE,3
Quickbooks for Accounting,2026-01-01,Administration Fee,100,100,FALSE,1
Quickbooks for Accounting,2026-01-01,Tuition Fee,450,450,TRUE,2
Quickbooks for Accounting,2026-01-01,Books,175,175,FALSE,3
Keyboarding Skills,2026-01-01,Application Fee,100,100,FALSE,1
Keyboarding Skills,2026-01-01,Tuition Fee,300,300,TRUE,2
Keyboarding Skills,2026-01-01,Books,175,175,FALSE,3
Food Service Assistant Certificate,2026-01-01,Application Fee,250,250,FALSE,1
Food Service Assistant Certificate,2026-01-01,Tuition Fee,4420,5380,TRUE,2
Food Service Assistant Certificate,2026-01-01,Course Materials,300,300,FALSE,3
Food Service Assistant Certificate,2026-01-01,Books,100,100,FALSE,4
Basics of Computers,2026-01-01,Administration Fee,100,100,FALSE,1
Basics of Computers,2026-01-01,Tuition Fee,375,375,TRUE,2
Basics of Computers,2026-01-01,Books,175,175,FALSE,3
Network Engineer Diploma,2026-01-01,Application Fee,250,250,FALSE,1
Network Engineer Diploma,2026-01-01,Tuition Fee,17250,20250,TRUE,2
Network Engineer Diploma,2026-01-01,Course Materials,500,500,FALSE,3
Network Engineer Diploma,2026-01-01,Books,175,175,FALSE,4
Information Systems Diploma,2026-01-01,Application Fee,250,250,FALSE,1
Information Systems Diploma,2026-01-01,Tuition Fee,8320,11960,TRUE,2
Information Systems Diploma,2026-01-01,Course Materials,200,200,FALSE,3
Information Systems Diploma,2026-01-01,Books,780,780,FALSE,4
Academic Preparation,2026-01-01,Assessment Fee,250,250,FALSE,1
Academic Preparation,2026-01-01,Tuition Fee,700,700,TRUE,2
Academic Preparation,2026-01-01,Assessment Fee,30,30,FALSE,3
CLB Preparation,2026-01-01,Application Fee,100,100,FALSE,1
CLB Preparation,2026-01-01,Tuition Fee,400,400,TRUE,2
CLB Preparation,2026-01-01,Books,175,175,FALSE,3
IELTS Preparation,2026-01-01,Application Fee,100,100,FALSE,1
IELTS Preparation,2026-01-01,Tuition Fee,675,975,TRUE,2
IELTS Preparation,2026-01-01,Books,175,175,FALSE,3
Private Pilot License,2026-01-01,Administration Fee,250,250,FALSE,1
Private Pilot License,2026-01-01,Application Fee,250,250,FALSE,2
