program_name,program_code,credential
Dementia Care,DCC,Certificate
Medication Management,MMC,Certificate
Palliative Care,FPC,Certificate
Certificate in Makeup Artistry Fundamentals,MAC,Certificate
Canadian Payroll Administration,CPA,Certificate
Canadian Taxation,CTC,Certificate
Quickbooks for Accounting,QBA,Certificate
Keyboarding Skills,KSC,Certificate
Food Service Assistant Certificate,FSAC,Certificate
Basics of Computers,BOC,Certificate
Network Engineer Diploma,NED,Diploma
Information Systems Diploma,DIS,Diploma
Academic Preparation,APC,Certificate
CLB Preparation,CLBTP,Certificate
IELTS Preparation,IELTS,Certificate
Private Pilot License,PPL,Certificate
Warehouse and Logistics Fundamentals Certificate,WLF,Certificate
Acute Care for HCAs,ACHCA,Certificate
Advanced Accounting Diploma,AMD,Diploma
Business Essentials Certificate,BEC,Certificate
Activity Assistant Certificate,AAC,Certificate
Addictions Support Worker Diploma,ASWD,Diploma
Cloud Computing Specialist Diploma,CCSD,Diploma
Post Graduate Diploma in Information Technology,DDTS,Diploma
Post Graduate Diploma in Health Administration,DHSA,Diploma
Post Graduate Diploma in Business Management,DIBM,Diploma
Network Administrator Diploma,NAD,Diploma
Community Mental Health Certificate,CCMH,Certificate
Commercial Pilot License,CPL,Certificate
Airline Cabin Crew Diploma,ACCC,Certificate
Gerontology Diploma,GC,Certificate
Flight Instructor Rating Program,FIR,Certificate
Pharmacy Assistant,PAD,Diploma
Computer Science Fundamentals Diploma,CSFC,Certificate
Network Support Technician,NST,Certificate
Health Care Assistant Diploma (Access),HCAA,Diploma
Medical Office Assistant Diploma,MOAD,Diploma
Business Management Diploma with Co-op,BMDC,Diploma
Dental Receptionist Certificate,DRC,Certificate
Education Assistant Diploma,EAD,Diploma
Office Administration Certificate,OAC,Certificate
Certificate in International Trade,CIT,Certificate
Hospitality Management Diploma,DHM,Diploma
Accounting Diploma,DA,Diploma
Certificate in International Business,CIB,Certificate
Early Childhood Education Assistant,ECEA,Certificate
English as a Second Language,ESL,Certificate
Medical Device Reprocessing Technician Certificate,MDRTC,Certificate
Medical Laboratory Assistant,MLAP,Diploma
Night Rating Program,NR,Certificate
Live in Caregiver Certificate,LCC,Certificate
Paralegal Diploma,DPS,Diploma
Dental Assistant Diploma,DAD,Diploma
Bachelor of Hospitality Management,BHM,Bachelor
Business Management Diploma,DBM,Diploma
Accounting and Payroll Compliance Professional Certificate,APCPC,Certificate
Bookkeeping and Accounting Certificate,BAC,Certificate
Health Care Assistant Diploma,HCA,Diploma
Health Care Assistant with ESL Diploma,HCAE,Diploma
Pharmacy Technician Diploma Program,PTD,Diploma
Registered Massage Therapy Program,RMTP,Diploma
Community Support Worker Diploma,CSWD,Diploma
Early Childhood Education,ECE,Diploma
